Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Land Girls,146083.0,146083.0,,8000000.0,Jun 12 1998,R,,Gramercy,,,,,,6.1,1071.0
"First Love, Last Rites",10876.0,10876.0,,300000.0,Aug 07 1998,R,,Strand,,Drama,,,,6.9,207.0
I Married a Strange Person,203134.0,203134.0,,250000.0,Aug 28 1998,,,Lionsgate,,Comedy,,,,6.8,865.0
Let's Talk About Sex,373615.0,373615.0,,300000.0,Sep 11 1998,,,Fine Line,,Comedy,,,13.0,,
Slam,1009819.0,1087521.0,,1000000.0,Oct 09 1998,R,,Trimark,Original Screenplay,Drama,Contemporary Fiction,,62.0,3.4,165.0
Mississippi Mermaid,24551.0,2624551.0,,1600000.0,Jan 15 1999,,,MGM,,,,,,,
Following,44705.0,44705.0,,6000.0,Apr 04 1999,R,,Zeitgeist,,,,Christopher Nolan,,7.7,15133.0
Foolish,6026908.0,6026908.0,,1600000.0,Apr 09 1999,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,,3.8,353.0
Pirates,1641825.0,6341825.0,,40000000.0,Jul 01 1986,R,,,,,,Roman Polanski,25.0,5.8,3275.0
Duel in the Sun,20400000.0,20400000.0,,6000000.0,Dec 31 2046,,,,,,,,86.0,7.0,2906.0
Tom Jones,37600000.0,37600000.0,,1000000.0,Oct 07 1963,,,,,,,,81.0,7.0,4035.0
Oliver!,37402877.0,37402877.0,,10000000.0,Dec 11 1968,,,Sony Pictures,,Musical,,,84.0,7.5,9111.0
To Kill A Mockingbird,13129846.0,13129846.0,,2000000.0,Dec 25 1962,,,Universal,,,,,97.0,8.4,82786.0
"Tora, Tora, Tora",29548291.0,29548291.0,,25000000.0,Sep 23 1970,,,,,,,Richard Fleischer,,,
Hollywood Shuffle,5228617.0,5228617.0,,100000.0,Mar 01 1987,,,,,,,,87.0,6.8,1532.0
Over the Hill to the Poorhouse,3000000.0,3000000.0,,100000.0,Sep 17 2020,,,,,,,,,,
Wilson,2000000.0,2000000.0,,5200000.0,Aug 01 2044,,,,,,,,,7.0,451.0
Darling Lili,5000000.0,5000000.0,,22000000.0,Jan 01 1970,,,,,,,Blake Edwards,,6.1,858.0
The Ten Commandments,80000000.0,80000000.0,,13500000.0,Oct 05 1956,,,,,,,,90.0,2.5,1677.0
12 Angry Men,0.0,0.0,,340000.0,Apr 13 1957,,,United Artists,Original Screenplay,Drama,,Sidney Lumet,,8.9,119101.0
Twelve Monkeys,57141459.0,168841459.0,,29000000.0,Dec 27 1995,R,,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,,8.1,169858.0
1776,0.0,0.0,,4000000.0,Nov 09 1972,PG,,Sony/Columbia,Based on Play,Drama,Historical Fiction,,57.0,7.0,4099.0
1941,34175000.0,94875000.0,,32000000.0,Dec 14 1979,,,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33.0,5.6,13364.0
Chacun sa nuit,18435.0,18435.0,,1900000.0,Jun 29 2007,Not Rated,,Strand,Original Screenplay,Thriller/Suspense,,,,6.3,365.0
2001: A Space Odyssey,56700000.0,68700000.0,,10500000.0,Apr 02 1968,,,,Original Screenplay,,Science Fiction,Stanley Kubrick,96.0,8.4,160342.0
"20,000 Leagues Under the Sea",28200000.0,28200000.0,,5000000.0,Dec 23 1954,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,,Richard Fleischer,92.0,,
"20,000 Leagues Under the Sea",8000000.0,8000000.0,,200000.0,Dec 24 2016,,,,Based on Book/Short Story,Adventure,,,,,
24 7: Twenty Four Seven,72544.0,72544.0,,2000000.0,Apr 15 1998,R,,October Films,Original Screenplay,Comedy,,Shane Meadows,,6.9,1417.0
